id,rho_ODE,x,y,z
363,-2.4268798895832e-05,-1.81825,0,0
364,-2.4268798938465e-05,-1.81775,0,0
365,-2.4268798981097e-05,-1.81725,0,0
366,-2.4268798981097e-05,-1.81675,0,0
367,-2.4268798895832e-05,-1.81625,0,0
368,-2.4268798938465e-05,-1.81575,0,0
369,-2.4268798938465e-05,-1.81525,0,0
370,-2.4268798981097e-05,-1.81475,0,0
371,-2.4268798938465e-05,-1.81425,0,0
372,-2.4268798895832e-05,-1.81375,0,0
373,-2.4268798938465e-05,-1.81325,0,0
374,-2.4268798981097e-05,-1.81275,0,0
375,-2.4268798895832e-05,-1.81225,0,0
376,-2.4268798938465e-05,-1.81175,0,0
377,-2.4268798981097e-05,-1.81125,0,0
378,-2.4268798981097e-05,-1.81075,0,0
379,-2.4268798895832e-05,-1.81025,0,0
380,-2.4268798895832e-05,-1.80975,0,0
381,-2.4268798938465e-05,-1.80925,0,0
382,-2.4268798981097e-05,-1.80875,0,0
383,-2.4268798981097e-05,-1.80825,0,0
384,-2.4268798895832e-05,-1.80775,0,0
385,-2.4268798895832e-05,-1.80725,0,0
386,-2.4268798938465e-05,-1.80675,0,0
387,-2.4268798981097e-05,-1.80625,0,0
388,-2.426879902373e-05,-1.80575,0,0
389,-2.4268798938465e-05,-1.80525,0,0
390,-2.4268798938465e-05,-1.80475,0,0
391,-2.4268798981097e-05,-1.80425,0,0
392,-2.4268798895832e-05,-1.80375,0,0
393,-2.4268798938465e-05,-1.80325,0,0
394,-2.4268798938465e-05,-1.80275,0,0
395,-2.4268798981097e-05,-1.80225,0,0
396,-2.4268798981097e-05,-1.80175,0,0
397,-2.4268798938465e-05,-1.80125,0,0
398,-2.4268798981097e-05,-1.80075,0,0
399,-2.4268798938465e-05,-1.80025,0,0
400,-2.4268798938465e-05,-1.79975,0,0
401,-2.4268798895832e-05,-1.79925,0,0
402,-2.4268798938465e-05,-1.79875,0,0
403,-2.4268798938465e-05,-1.79825,0,0
404,-2.4268798981097e-05,-1.79775,0,0
405,-2.4268798895832e-05,-1.79725,0,0
406,-2.4268798938465e-05,-1.79675,0,0
407,-2.4268798938465e-05,-1.79625,0,0
408,-2.4268798981097e-05,-1.79575,0,0
409,-2.426879902373e-05,-1.79525,0,0
410,-2.4268798938465e-05,-1.79475,0,0
411,-2.4268798938465e-05,-1.79425,0,0
412,-2.4268798981097e-05,-1.79375,0,0
413,-2.4268798981097e-05,-1.79325,0,0
414,-2.4268798981097e-05,-1.79275,0,0
415,-2.4268798938465e-05,-1.79225,0,0
416,-2.4268798981097e-05,-1.79175,0,0
417,-2.4268798981097e-05,-1.79125,0,0
418,-2.4268798938465e-05,-1.79075,0,0
419,-2.4268798938465e-05,-1.79025,0,0
