grad_psi_e,id,x,y,z
3.2490344779035e-06,2332,-0.83375,0,0
3.2490345347469e-06,2333,-0.83325,0,0
3.2490345915903e-06,2334,-0.83275,0,0
3.2490344779035e-06,2335,-0.83225,0,0
3.2490345347469e-06,2336,-0.83175,0,0
3.2490344779035e-06,2337,-0.83125,0,0
3.2490346484337e-06,2338,-0.83075,0,0
3.2490345347469e-06,2339,-0.83025,0,0
3.2490344779035e-06,2340,-0.82975,0,0
3.2490345915903e-06,2341,-0.82925,0,0
3.2490345347469e-06,2342,-0.82875,0,0
3.2490344779035e-06,2343,-0.82825,0,0
3.2490345915903e-06,2344,-0.82775,0,0
3.2490344779035e-06,2345,-0.82725,0,0
3.2490345915903e-06,2346,-0.82675,0,0
3.2490345915903e-06,2347,-0.82625,0,0
3.2490344779035e-06,2348,-0.82575,0,0
3.2490345347469e-06,2349,-0.82525,0,0
3.2490345347469e-06,2350,-0.82475,0,0
3.2490345347469e-06,2351,-0.82425,0,0
3.2490345347469e-06,2352,-0.82375,0,0
3.2490344779035e-06,2353,-0.82325,0,0
3.2490345915903e-06,2354,-0.82275,0,0
3.2490345915903e-06,2355,-0.82225,0,0
3.2490344779035e-06,2356,-0.82175,0,0
3.2490345915903e-06,2357,-0.82125,0,0
3.2490345347469e-06,2358,-0.82075,0,0
3.2490344779035e-06,2359,-0.82025,0,0
3.2490345347469e-06,2360,-0.81975,0,0
3.2490345347469e-06,2361,-0.81925,0,0
3.2490345347469e-06,2362,-0.81875,0,0
3.2490345915903e-06,2363,-0.81825,0,0
3.2490345347469e-06,2364,-0.81775,0,0
3.2490345347469e-06,2365,-0.81725,0,0
3.2490345347469e-06,2366,-0.81675,0,0
3.2490345347469e-06,2367,-0.81625,0,0
3.2490345347469e-06,2368,-0.81575,0,0
3.2490344779035e-06,2369,-0.81525,0,0
3.2490345915903e-06,2370,-0.81475,0,0
3.2490345915903e-06,2371,-0.81425,0,0
3.2490344779035e-06,2372,-0.81375,0,0
3.2490345347469e-06,2373,-0.81325,0,0
3.2490345915903e-06,2374,-0.81275,0,0
3.2490344779035e-06,2375,-0.81225,0,0
3.2490345347469e-06,2376,-0.81175,0,0
3.2490345347469e-06,2377,-0.81125,0,0
3.2490345347469e-06,2378,-0.81075,0,0
3.2490345347469e-06,2379,-0.81025,0,0
3.2490345915903e-06,2380,-0.80975,0,0
3.2490345347469e-06,2381,-0.80925,0,0
3.2490345347469e-06,2382,-0.80875,0,0
3.2490344779035e-06,2383,-0.80825,0,0
3.2490345915903e-06,2384,-0.80775,0,0
3.2490344779035e-06,2385,-0.80725,0,0
3.2490345347469e-06,2386,-0.80675,0,0
